location,location(local),Riverside,St_Michael,Central,Kirkdale,Woolton,renovation,top_floor,ground_floor,parking_space,extra_bathroom,balcony,garden,sq_meters,price,price/sqm
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,0,0,0,55.5,135000,2432.432432
Liverpool ,Riverside ,1,0,0,0,0,1,0,0,1,1,1,0,60,295000,4916.666667
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,0,1,0,50,157000,3140
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,1,1,0,75,180000,2400
Liverpool ,Riverside ,1,0,0,0,0,0,0,1,1,1,0,0,60.5,160000,2644.628099
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,1,1,0,51,155000,3039.215686
Liverpool ,Riverside ,1,0,0,0,0,1,0,0,1,1,0,1,70,160000,2285.714286
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,0,1,0,77,170000,2207.792208
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,1,1,1,64,235000,3671.875
Liverpool ,Riverside ,1,0,0,0,0,1,0,0,1,1,0,0,66.1,150000,2269.288956
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,1,0,0,75,265000,3533.333333
Liverpool ,Riverside ,1,0,0,0,0,1,0,0,1,1,0,0,65.2,192000,2944.785276
Liverpool ,Riverside ,1,0,0,0,0,0,0,0,1,1,1,0,50.5,168000,3326.732673
Liverpool ,Riverside ,1,0,0,0,0,0,0,1,0,0,0,1,55.2,150000,2717.391304
Liverpool ,Riverside ,1,0,0,0,0,1,0,1,1,1,0,0,65.4,200000,3058.103976
Liverpool ,St Michael's,0,1,0,0,0,1,0,0,0,1,0,1,71.9,259000,3602.225313
Liverpool ,St Michael's,0,1,0,0,0,1,0,1,1,1,0,1,55.2,245000,4438.405797
Liverpool ,St Michael's,0,1,0,0,0,1,0,0,1,0,0,1,51.4,230000,4474.708171
Liverpool ,St Michael's,0,1,0,0,0,0,0,1,1,0,0,0,58.4,130000,2226.027397
Liverpool ,St Michael's,0,1,0,0,0,0,0,1,1,0,0,1,65,150000,2307.692308
Liverpool ,St Michael's,0,1,0,0,0,0,0,0,1,1,0,0,56.6,125000,2208.480565
Liverpool ,St Michael's,0,1,0,0,0,0,0,0,0,0,1,1,61,135000,2213.114754
Liverpool ,St Michael's,0,1,0,0,0,1,0,0,1,1,1,1,60,140000,2333.333333
Liverpool ,St Michael's,0,1,0,0,0,1,0,1,1,1,0,1,56,180000,3214.285714
Liverpool ,St Michael's,0,1,0,0,0,0,0,0,1,0,0,1,61,145000,2377.04918
Liverpool ,St Michael's,0,1,0,0,0,0,0,1,1,0,0,1,55,150000,2727.272727
Liverpool ,St Michael's,0,1,0,0,0,0,0,1,0,0,0,1,61.2,165000,2696.078431
Liverpool ,St Michael's,0,1,0,0,0,0,0,0,1,0,1,1,67,140000,2089.552239
Liverpool ,St Michael's,0,1,0,0,0,1,1,0,1,0,0,1,69,175000,2536.231884
Liverpool ,St Michael's,0,1,0,0,0,1,0,1,1,1,1,1,70,215000,3071.428571
Liverpool ,Central ,0,0,1,0,0,1,0,0,0,1,0,0,70.9,175000,2468.265162
Liverpool ,Central ,0,0,1,0,0,1,0,0,1,1,0,0,64.7,189500,2928.902628
Liverpool ,Central ,0,0,1,0,0,1,0,0,1,1,0,0,68.5,189950,2772.992701
Liverpool ,Central ,0,0,1,0,0,1,1,0,1,1,0,0,76,209950,2762.5
Liverpool ,Central ,0,0,1,0,0,0,0,0,0,1,1,0,50,120000,2400
Liverpool ,Central ,0,0,1,0,0,1,0,0,0,0,1,0,53,164950,3112.264151
Liverpool ,Central ,0,0,1,0,0,0,0,0,0,0,0,0,55.8,140000,2508.960573
Liverpool ,Central ,0,0,1,0,0,1,0,0,1,1,0,0,66.8,160000,2395.209581
Liverpool ,Central ,0,0,1,0,0,1,0,0,1,1,0,0,52,189950,3652.884615
Liverpool ,Central ,0,0,1,0,0,1,0,0,0,1,0,0,75,260000,3466.666667
Liverpool ,Central ,0,0,1,0,0,1,0,0,0,1,0,0,72,239000,3319.444444
Liverpool ,Central ,0,0,1,0,0,1,0,0,0,1,0,0,74,242500,3277.027027
Liverpool ,Central ,0,0,1,0,0,1,0,0,1,0,0,0,55.1,190000,3448.275862
Liverpool ,Central ,0,0,1,0,0,0,1,0,1,1,1,0,73.7,225000,3052.917232
